Fecha,Hora,Sucursal,Producto,Precio,Unidades,Precio Total,Mes,Nombre_Mes,Año,Año_Mes
2022-01-01,14,Sucursal 4,Producto E,40,6,240,1,January,2022,2022-01
2022-01-01,12,Sucursal 5,Producto B,25,8,200,1,January,2022,2022-01
2022-01-01,15,Sucursal 3,Producto B,25,4,100,1,January,2022,2022-01
2022-01-01,15,Sucursal 5,Producto J,60,3,180,1,January,2022,2022-01
2022-01-01,18,Sucursal 5,Producto F,40,3,120,1,January,2022,2022-01
2022-01-01,19,Sucursal 1,Producto E,40,6,240,1,January,2022,2022-01
2022-01-01,17,Sucursal 2,Producto H,25,9,225,1,January,2022,2022-01
2022-01-01,15,Sucursal 1,Producto B,25,2,50,1,January,2022,2022-01
2022-01-01,16,Sucursal 4,Producto I,60,1,60,1,January,2022,2022-01
2022-01-01,16,Sucursal 2,Producto G,20,4,80,1,January,2022,2022-01
2022-01-01,17,Sucursal 5,Producto D,35,7,245,1,January,2022,2022-01
2022-01-01,14,Sucursal 4,Producto I,60,6,360,1,January,2022,2022-01
2022-01-01,18,Sucursal 4,Producto A,20,7,140,1,January,2022,2022-01
2022-01-01,17,Sucursal 4,Producto J,60,2,120,1,January,2022,2022-01
2022-01-01,13,Sucursal 4,Producto D,35,8,280,1,January,2022,2022-01
2022-01-01,16,Sucursal 5,Producto I,60,2,120,1,January,2022,2022-01
2022-01-01,15,Sucursal 3,Producto F,40,3,120,1,January,2022,2022-01
2022-01-01,17,Sucursal 1,Producto I,60,7,420,1,January,2022,2022-01
2022-01-02,20,Sucursal 3,Producto F,40,3,120,1,January,2022,2022-01
2022-01-02,18,Sucursal 5,Producto G,20,8,160,1,January,2022,2022-01
2022-01-02,19,Sucursal 2,Producto H,25,3,75,1,January,2022,2022-01
2022-01-02,16,Sucursal 2,Producto C,30,8,240,1,January,2022,2022-01
2022-01-02,19,Sucursal 2,Producto G,20,1,20,1,January,2022,2022-01
2022-01-02,15,Sucursal 3,Producto H,25,9,225,1,January,2022,2022-01
2022-01-03,16,Sucursal 5,Producto D,35,7,245,1,January,2022,2022-01
2022-01-03,13,Sucursal 1,Producto E,40,8,320,1,January,2022,2022-01
2022-01-03,18,Sucursal 5,Producto E,40,8,320,1,January,2022,2022-01
2022-01-03,18,Sucursal 1,Producto H,25,3,75,1,January,2022,2022-01
2022-01-03,13,Sucursal 2,Producto H,25,1,25,1,January,2022,2022-01
2022-01-03,17,Sucursal 5,Producto D,35,2,70,1,January,2022,2022-01
2022-01-03,19,Sucursal 4,Producto D,35,8,280,1,January,2022,2022-01
2022-01-03,16,Sucursal 2,Producto E,40,5,200,1,January,2022,2022-01
2022-01-04,18,Sucursal 1,Producto A,20,7,140,1,January,2022,2022-01
2022-01-04,12,Sucursal 3,Producto F,40,9,360,1,January,2022,2022-01
2022-01-04,16,Sucursal 2,Producto F,40,1,40,1,January,2022,2022-01
2022-01-04,14,Sucursal 4,Producto B,25,9,225,1,January,2022,2022-01
2022-01-04,16,Sucursal 2,Producto G,20,2,40,1,January,2022,2022-01
2022-01-04,17,Sucursal 5,Producto B,25,2,50,1,January,2022,2022-01
2022-01-04,13,Sucursal 3,Producto G,20,3,60,1,January,2022,2022-01
2022-01-04,14,Sucursal 3,Producto E,40,6,240,1,January,2022,2022-01
2022-01-05,13,Sucursal 1,Producto D,35,2,70,1,January,2022,2022-01
2022-01-05,15,Sucursal 2,Producto D,35,4,140,1,January,2022,2022-01
2022-01-05,19,Sucursal 2,Producto C,30,3,90,1,January,2022,2022-01
2022-01-05,16,Sucursal 2,Producto I,60,7,420,1,January,2022,2022-01
2022-01-05,16,Sucursal 5,Producto G,20,6,120,1,January,2022,2022-01
2022-01-05,18,Sucursal 3,Producto G,20,1,20,1,January,2022,2022-01
2022-01-05,15,Sucursal 1,Producto H,25,3,75,1,January,2022,2022-01
2022-01-05,19,Sucursal 2,Producto I,60,5,300,1,January,2022,2022-01
2022-01-05,19,Sucursal 3,Producto I,60,9,540,1,January,2022,2022-01
2022-01-05,18,Sucursal 3,Producto J,60,4,240,1,January,2022,2022-01
2022-01-05,18,Sucursal 5,Producto D,35,4,140,1,January,2022,2022-01
2022-01-05,19,Sucursal 5,Producto J,60,7,420,1,January,2022,2022-01
2022-01-05,20,Sucursal 2,Producto I,60,3,180,1,January,2022,2022-01
2022-01-05,18,Sucursal 4,Producto J,60,4,240,1,January,2022,2022-01
2022-01-05,16,Sucursal 4,Producto I,60,3,180,1,January,2022,2022-01
2022-01-06,12,Sucursal 4,Producto A,20,1,20,1,January,2022,2022-01
2022-01-06,14,Sucursal 3,Producto G,20,6,120,1,January,2022,2022-01
